       SEQ TEXTO                                              FECHA               T
---------- -------------------------------------------------- ------------------- -
        79 INICIO ACTUALIZACION                               01-01-2014 03:23:35 I
        80 REGISTROS PPCS.PPCS_CONSALDO 11004                 01-01-2014 03:23:36 I
        81 FINALIZA ACTUALIZACION PPCS_CONSALDO               01-01-2014 03:23:38 I
        82 REGISTROS PPCS.PPCS_MULSALDET 341865               01-01-2014 03:23:40 I
        83 FINALIZA ACTUALIZACION PPCS_MULSALDET              01-01-2014 03:24:35 I
        84 REGISTROS PPCS.PPCS_LLAMADAS 532978                01-01-2014 03:24:36 I
        85 FINALIZA ACTUALIZACION PPCS_LLAMADAS               01-01-2014 03:25:58 I
        86 REGISTROS PPCS.PPCS_MECOORIG 1288487               01-01-2014 03:26:00 I
        87 FINALIZA ACTUALIZACION PPCS_MECOORIG               01-01-2014 03:30:37 I
        88 REGISTROS PPCS.PPCS_CONTENT 27848                  01-01-2014 03:30:37 I
        89 FINALIZA ACTUALIZACION PPCS_CONTENT                01-01-2014 03:30:41 I
        90 REGISTROS PPCS.PPCS_EVENTPROM 1659746              01-01-2014 03:30:43 I
        91 FINALIZA ACTUALIZACION PPCS_EVENTPROM              01-01-2014 03:35:26 I
        92 REGISTROS PPCS.PPCS_ROAMT 42                       01-01-2014 03:35:30 I
        93 FINALIZA ACTUALIZACION PPCS_ROAMT                  01-01-2014 03:35:38 I
        94 REGISTROS PPCS.PPCS_ROAMO 103                      01-01-2014 03:35:40 I
        95 FINALIZA ACTUALIZACION PPCS_ROAMO                  01-01-2014 03:35:47 I
        96 REGISTROS PPCS.PPCS_ROAMD 0                        01-01-2014 03:35:47 I
        97 FINALIZA ACTUALIZACION PPCS_ROAMD                  01-01-2014 03:35:47 I
        98 REGISTROS PPCS.PPCS_MECOTERM 1070                  01-01-2014 03:35:47 I
        99 FINALIZA ACTUALIZACION PPCS_MECOTERM               01-01-2014 03:35:48 I
       100 REGISTROS PPCS.PPCS_DESVIOS 392                    01-01-2014 03:35:48 I
       101 FINALIZA ACTUALIZACION PPCS_DESVIOS                01-01-2014 03:35:49 I
       102 REGISTROS PPCS.PPCS_DIAMETER 739728                01-01-2014 03:35:49 I
       103 FINALIZA ACTUALIZACION PPCS_DIAMETER               01-01-2014 03:38:32 I
       104 FINAL ACTUALIZACION, INICIO VERIFICACION           01-01-2014 03:38:32 I
       105 REGISTROS PPCS.PPCS_CONSALDO 0                     01-01-2014 03:38:32 I
       106 REGISTROS PPCS.PPCS_MULSALDET 691                  01-01-2014 03:38:32 I
       107 REGISTROS PPCS.PPCS_LLAMADAS 159                   01-01-2014 03:38:32 I
       108 REGISTROS PPCS.PPCS_MECOORIG 0                     01-01-2014 03:38:32 I
       109 REGISTROS PPCS.PPCS_CONTENT 3                      01-01-2014 03:38:32 I
       110 REGISTROS PPCS.PPCS_EVENTPROM 3947                 01-01-2014 03:38:32 I
       111 REGISTROS PPCS.PPCS_ROAMT 0                        01-01-2014 03:38:32 I
       112 REGISTROS PPCS.PPCS_ROAMO 0                        01-01-2014 03:38:32 I
       113 REGISTROS PPCS.PPCS_ROAMD 0                        01-01-2014 03:38:32 I
       114 REGISTROS PPCS.PPCS_MECOTERM 0                     01-01-2014 03:38:32 I
       115 REGISTROS PPCS.PPCS_DESVIOS 0                      01-01-2014 03:38:32 I
       116 REGISTROS PPCS.PPCS_DIAMETER 1476                  01-01-2014 03:38:33 I
       117 FIN DEL PROCESO, SE EJECUTO EN        15 MINUTOS   01-01-2014 03:38:33 I
       118 INICIO ACTUALIZACION                               01-01-2014 03:42:43 I
       119 REGISTROS PPCS.PPCS_CONSALDO 0                     01-01-2014 03:42:43 I
       120 FINALIZA ACTUALIZACION PPCS_CONSALDO               01-01-2014 03:42:43 I
       121 REGISTROS PPCS.PPCS_MULSALDET 808                  01-01-2014 03:42:43 I
       122 FINALIZA ACTUALIZACION PPCS_MULSALDET              01-01-2014 03:42:48 I
       123 REGISTROS PPCS.PPCS_LLAMADAS 214                   01-01-2014 03:42:49 I
       124 FINALIZA ACTUALIZACION PPCS_LLAMADAS               01-01-2014 03:42:50 I
       125 REGISTROS PPCS.PPCS_MECOORIG 0                     01-01-2014 03:42:50 I
       126 FINALIZA ACTUALIZACION PPCS_MECOORIG               01-01-2014 03:42:50 I
       127 REGISTROS PPCS.PPCS_CONTENT 3                      01-01-2014 03:42:50 I
       128 FINALIZA ACTUALIZACION PPCS_CONTENT                01-01-2014 03:42:50 I
       129 REGISTROS PPCS.PPCS_EVENTPROM 5707                 01-01-2014 03:42:50 I
       130 FINALIZA ACTUALIZACION PPCS_EVENTPROM              01-01-2014 03:43:02 I
       131 REGISTROS PPCS.PPCS_ROAMT 0                        01-01-2014 03:43:02 I
       132 FINALIZA ACTUALIZACION PPCS_ROAMT                  01-01-2014 03:43:09 I
       133 REGISTROS PPCS.PPCS_ROAMO 0                        01-01-2014 03:43:09 I
       134 FINALIZA ACTUALIZACION PPCS_ROAMO                  01-01-2014 03:43:15 I
       135 REGISTROS PPCS.PPCS_ROAMD 0                        01-01-2014 03:43:15 I
       136 FINALIZA ACTUALIZACION PPCS_ROAMD                  01-01-2014 03:43:15 I
       137 REGISTROS PPCS.PPCS_MECOTERM 0                     01-01-2014 03:43:15 I
       138 FINALIZA ACTUALIZACION PPCS_MECOTERM               01-01-2014 03:43:15 I
       139 REGISTROS PPCS.PPCS_DESVIOS 0                      01-01-2014 03:43:15 I
       140 FINALIZA ACTUALIZACION PPCS_DESVIOS                01-01-2014 03:43:15 I
       141 REGISTROS PPCS.PPCS_DIAMETER 3593                  01-01-2014 03:43:15 I
       142 INICIO ACTUALIZACION                               01-01-2014 03:43:44 I
       143 REGISTROS PPCS.PPCS_CONSALDO 0                     01-01-2014 03:43:44 I
       144 FINALIZA ACTUALIZACION PPCS_CONSALDO               01-01-2014 03:43:44 I
       145 REGISTROS PPCS.PPCS_MULSALDET 35                   01-01-2014 03:43:44 I
       146 INICIO ACTUALIZACION                               01-01-2014 03:44:16 I
       147 REGISTROS PPCS.PPCS_CONSALDO 0                     01-01-2014 03:44:16 I
       148 FINALIZA ACTUALIZACION PPCS_CONSALDO               01-01-2014 03:44:16 I
       149 REGISTROS PPCS.PPCS_MULSALDET 58                   01-01-2014 03:44:16 I
       150 FINALIZA ACTUALIZACION PPCS_MULSALDET              01-01-2014 03:44:17 I
       151 REGISTROS PPCS.PPCS_LLAMADAS 8                     01-01-2014 03:44:17 I
       152 FINALIZA ACTUALIZACION PPCS_LLAMADAS               01-01-2014 03:44:17 I
       153 REGISTROS PPCS.PPCS_MECOORIG 0                     01-01-2014 03:44:17 I
       154 FINALIZA ACTUALIZACION PPCS_MECOORIG               01-01-2014 03:44:17 I
       155 REGISTROS PPCS.PPCS_CONTENT 0                      01-01-2014 03:44:17 I
       156 FINALIZA ACTUALIZACION PPCS_CONTENT                01-01-2014 03:44:17 I
       157 REGISTROS PPCS.PPCS_EVENTPROM 454                  01-01-2014 03:44:17 I
       158 FINALIZA ACTUALIZACION PPCS_EVENTPROM              01-01-2014 03:44:18 I
       159 REGISTROS PPCS.PPCS_ROAMT 0                        01-01-2014 03:44:18 I
       160 FINALIZA ACTUALIZACION PPCS_ROAMT                  01-01-2014 03:44:18 I
       161 REGISTROS PPCS.PPCS_ROAMO 0                        01-01-2014 03:44:19 I
       162 FINALIZA ACTUALIZACION PPCS_ROAMO                  01-01-2014 03:44:19 I
       163 REGISTROS PPCS.PPCS_ROAMD 0                        01-01-2014 03:44:19 I
       164 FINALIZA ACTUALIZACION PPCS_ROAMD                  01-01-2014 03:44:19 I
       165 REGISTROS PPCS.PPCS_MECOTERM 0                     01-01-2014 03:44:19 I
       166 FINALIZA ACTUALIZACION PPCS_MECOTERM               01-01-2014 03:44:19 I
       167 REGISTROS PPCS.PPCS_DESVIOS 0                      01-01-2014 03:44:19 I
       168 FINALIZA ACTUALIZACION PPCS_DESVIOS                01-01-2014 03:44:19 I
       169 REGISTROS PPCS.PPCS_DIAMETER 4018                  01-01-2014 03:44:19 I
       170 FINALIZA ACTUALIZACION PPCS_DIAMETER               01-01-2014 03:44:19 I
       171 FINAL ACTUALIZACION, INICIO VERIFICACION           01-01-2014 03:44:19 I
       172 REGISTROS PPCS.PPCS_CONSALDO 0                     01-01-2014 03:44:19 I
       173 REGISTROS PPCS.PPCS_MULSALDET 0                    01-01-2014 03:44:19 I
       174 REGISTROS PPCS.PPCS_LLAMADAS 0                     01-01-2014 03:44:19 I
       175 REGISTROS PPCS.PPCS_MECOORIG 0                     01-01-2014 03:44:19 I
       176 REGISTROS PPCS.PPCS_CONTENT 0                      01-01-2014 03:44:19 I
       177 REGISTROS PPCS.PPCS_EVENTPROM 0                    01-01-2014 03:44:20 I
       178 REGISTROS PPCS.PPCS_ROAMT 0                        01-01-2014 03:44:20 I
       179 REGISTROS PPCS.PPCS_ROAMO 0                        01-01-2014 03:44:20 I
       180 REGISTROS PPCS.PPCS_ROAMD 0                        01-01-2014 03:44:20 I
       181 REGISTROS PPCS.PPCS_MECOTERM 0                     01-01-2014 03:44:20 I
